metal_type,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2025,2024,2023,2022,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,asset_class,intra_region_category,commodity_overlap_pct,within_metal_beta,available_on_investengine,yday_close_price_date,yday_close_price
platinum,A1KWPS,SPLT,12881555.0,iShares Physical Platinum ETC,2011-04-08,5455,14.945205479452056,Long-only,Ireland,USD,False,False,Accumulating,0.2,Physically backed,404,False,,2.32,-2.57,1.9,16.2,48.99,102.58,87.88,77.44,105.93,-8.01,-10.83,23.81,,,45.31,35.8,32.19,2.26,0.65,0.38,-57.53,-28.52,-28.52,-28.52,Global,Global,Global,preciousMetals,Global,0.0,1.0026502602934217,True,2026-03-13,2204.5
silver,A1KWPR,SSLN,12881547.0,iShares Physical Silver ETC,2011-04-08,5455,14.945205479452056,Long-only,Ireland,USD,False,False,Accumulating,0.2,Physically backed,3463,False,,13.19,-1.96,6.5,25.52,93.85,135.59,245.62,224.61,131.29,23.09,-6.29,16.12,,,49.42,36.8,32.12,2.74,1.39,0.83,-69.49,-35.71,-35.71,-35.71,Global,Global,Global,preciousMetals,Global,4.49,1.0,True,2026-03-13,5774.0
