wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2025,2024,2023,2022,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,available_on_investengine,asset_class,intra_region_category,yday_close_price_date,yday_close_price
A0KRK8,AIGA,,WisdomTree Agriculture,2006-09-27,7109,19.476712328767125,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,186.0,False,,8.74,1.72,9.49,5.35,5.58,-1.66,-12.89,28.88,-9.94,-3.4,-10.71,27.85,,,13.89,15.15,18.11,-0.12,-0.3,0.29,-57.21,-13.11,-25.93,-32.91,Global,Global,Global,False,agri,Global,2026-03-13,6.269999980926514
A3G8J7,WEAP,,WisdomTree Wheat,2006-09-27,7109,19.476712328767125,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,106.0,False,,21.25,-0.13,14.81,15.59,15.67,-4.72,-98.69,-34.85,-23.6,-18.81,-31.58,7.34,,,23.21,22022.3,23407.75,-0.2,0.0,0.0,-99.41,-22.49,-98.95,-99.41,Global,Global,Global,False,agri,Global,2026-03-13,1542.0
