wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025,asset_class,intra_region_category,benchmark_ticker,benchmark_description,benchmark_2025_Return,beta,available_on_investengine,yday_close_price_date,yday_close_price
A2QR39,QYLP,122393230.0,Global X Nasdaq 100 Covered Call UCITS ETF D,2022-11-22,885,2.424657534246576,Long-only,Ireland,USD,False,False,Distributing,0.45,Swap based Unfunded,411.0,False,,-13.94,1.12,-6.62,-17.14,-5.59,0.2,,,24.18,15.29,,,13.16,11.72,17.68,,,0.01,,,-22.46,-22.46,,,AmericasandUK,United States,Developed_AmericasandUK,,equity,High Yield,,,,,True,2026-03-13,12.343999862670898
A2DWP8,AUAD,22896454.0,UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,2017-09-18 00:00:00,2776,7.605479452054794,Long-only,Ireland,AUD,False,True,Distributing,0.4,Full replication,301.0,False,54.0,-3.53,2.9,0.62,-8.65,-6.81,-1.18,3.83,71.76,2.82,7.47,6.24,10.16,3.75,3.58,17.55,17.35,17.37,-0.07,0.07,0.66,-39.35,-20.04,-20.04,-20.04,APAC,Australia,Developed_APAC,,equity,High Yield,,,,,True,2026-03-13,2053.0
A0MZWP,IMIB,3246482.0,iShares FTSE MIB UCITS ETF EUR (Dist),2007-07-06 00:00:00,6503,17.816438356164383,Long-only,Ireland,EUR,False,True,Distributing,0.35,Full replication,110.0,False,41.0,12.37,2.73,-2.69,3.9,11.61,11.57,76.59,157.9,12.95,31.04,-4.26,18.13,4.06,4.33,17.73,17.9,19.36,0.65,1.16,1.08,-60.06,-15.68,-17.52,-24.36,EMEA,Italy,Developed_EMEA,,equity,High Yield,,,,,True,2026-03-13,2328.5
A0HGWA,IBZL,2308866.0,iShares MSCI Brazil UCITS ETF (Dist),2005-11-18,7098,19.44657534246576,Long-only,Ireland,USD,False,False,Distributing,0.74,Full replication,262.0,False,52.0,10.51,5.3,-1.95,1.2,-4.21,-13.83,-7.54,55.8,-27.63,22.89,28.95,-21.33,6.94,5.59,22.44,28.39,31.76,-0.62,-0.09,0.29,-71.32,-26.41,-30.83,-31.46,Americas,Brazil,Emerging_Americas,,equity,High Yield,,,,,True,2026-03-13,2224.25
A1JHYT,HMCH,12534159.0,HSBC MSCI China UCITS ETF USD,2011-01-26,5203,14.254794520547945,Long-only,Ireland,USD,False,True,Distributing,0.28,Full replication,796.0,False,570.0,3.57,3.29,-10.1,2.78,3.77,20.02,12.18,-8.95,21.05,-16.41,-12.58,-20.83,2.28,2.67,27.94,26.91,26.86,0.72,0.14,-0.07,-56.92,-19.58,-36.01,-56.92,APACandEMEA,China,Emerging_APACandEMEA,,equity,High Yield,,,,,True,2026-03-13,601.25
