wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2025,2024,2023,2022,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,asset_class,intra_region_category,beta,available_on_investengine,yday_close_price_date,yday_close_price
A2DQ7M,BCOG,37470964.0,L&G All Commodities UCITS ETF,2017-07-11,3169,8.682191780821919,Long-only,Ireland,USD,False,False,Accumulating,0.15,Swap based Unfunded,173.0,False,,25.46,3.1,18.14,25.78,34.95,29.92,33.99,93.29,7.57,6.73,-13.12,29.83,,,16.84,14.34,16.62,1.78,0.71,0.85,-28.35,-9.69,-14.89,-28.02,Global,Global,Global,commodities,Global,1.1435045317220545,True,2026-03-13,1498.25
A2QSKH,COMX,115184075.0,WisdomTree Broad Commodities UCITS ETF USD Unhedged Acc,2021-11-29,1567,4.293150684931507,Long-only,Ireland,USD,False,False,Accumulating,0.19,Physical & Synthetic,362.0,False,,25.18,2.91,17.94,25.71,35.02,30.19,34.11,,7.86,6.96,-13.32,29.17,,,16.26,14.14,,1.86,0.73,,-28.52,-9.45,-14.84,,Global,Global,Global,commodities,Global,1.1873111782477341,True,2026-03-13,1204.4000244140625
