wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025,asset_class,intra_region_category,available_on_investengine,yday_close_price_date,yday_close_price
A0LGP9,IGLT,2803931.0,iShares Core UK Gilts UCITS ETF,2006-12-01 00:00:00,6720.0,18.410958904109588,Long-only,Ireland,GBP,False,True,Distributing,0.07,Sampling,3170.0,False,68.0,2.02,0.7,1.92,2.02,-0.04,3.25,-13.55,-26.65,-3.29,3.7,-23.89,-5.19,3.62,3.6,9.89,11.5,10.29,0.33,-0.41,-0.58,-34.95,-6.82,-23.8,-34.78,AmericasandUK,United Kingdom,Developed_AmericasandUK,,bonds,Govt,True,2026-03-13,9.802499771118164
A0DKL3,SLXX,1828476.0,iShares Core GBP Corporate Bond UCITS ETF,2004-03-29 00:00:00,7697.0,21.087671232876712,Long-only,Ireland,GBP,False,True,Distributing,0.2,Sampling,2147.0,False,503.0,1.14,0.89,1.07,0.88,0.87,4.75,0.3,-5.02,1.26,9.29,-18.89,-3.92,4.77,4.76,4.33,7.21,6.53,1.1,0.01,-0.16,-30.26,-2.89,-20.22,-30.26,AmericasandUK,United Kingdom,Developed_AmericasandUK,,bonds,Corp,True,2026-03-13,121.0
A2N7D2,TRXG,44125315.0,Invesco US Treasury Bond 7-10 Year UCITS ETF Dist,2019-01-11,2296.0,6.2904109589041095,Long-only,Ireland,USD,False,True,Distributing,0.06,Sampling,453.0,False,12.0,-2.56,-0.56,-2.16,-3.57,-0.92,0.37,-1.86,-19.3,0.8,-2.0,-4.62,-1.84,4.46,4.29,8.49,12.11,11.36,0.04,-0.05,-0.37,-25.77,-6.15,-18.04,-23.34,AmericasandUK,United States,Developed_AmericasandUK,,bonds,Govt,True,2026-03-13,2692.5
A110QP,UC81,24019996.0,UBS ETF (LU) Bloomberg US Liquid Corporates 1-5 Year UCITS ETF (USD) A-dis,2014-12-01,3798.0,10.405479452054797,Long-only,Luxembourg,USD,False,False,Distributing,0.16,Sampling,213.0,False,214.0,-3.68,-0.1,-2.26,-4.96,-0.16,0.15,9.19,2.92,6.02,0.54,4.84,0.31,5.87,5.57,7.17,9.58,8.97,0.02,0.31,0.06,-15.92,-7.35,-15.92,-15.92,AmericasandUK,United States,Developed_AmericasandUK,,bonds,Corp,True,2026-03-13,1039.25
A1JWS3,EMCP,18425202.0,iShares J.P. Morgan USD EM Corporate Bond UCITS ETF (Dist),2012-04-17,4756.0,13.03013698630137,Long-only,Ireland,USD,False,True,Distributing,0.5,Sampling,627.0,False,1194.0,-4.25,0.33,-3.38,-5.63,-1.13,0.51,10.4,9.47,8.14,2.14,-1.74,1.21,5.6,5.33,6.97,9.09,8.73,0.07,0.37,0.21,-12.73,-8.29,-12.54,-12.54,AmericasandUK,United States,Emerging_APACandEMEA,,bonds,Corp,True,2026-03-13,68.5250015258789
A2PBLP,PRIR,45675813.0,Amundi Prime Euro Govies UCITS ETF DR (D),2019-03-12,2236.0,6.126027397260274,Long-only,Luxembourg,EUR,False,False,Distributing,0.05,Sampling,989.0,False,405.0,3.98,-0.07,4.64,3.04,3.44,4.36,-0.15,-10.91,-2.97,4.51,-13.57,-9.68,2.0,2.04,6.38,8.36,8.18,0.68,-0.01,-0.28,-27.31,-3.99,-10.81,-27.31,EMEA,Germany,Developed_EMEA,,bonds,Govt,True,2026-03-13,1456.9000244140625
A143JK,VECP,30358994.0,Vanguard EUR Corporate Bond UCITS ETF Distributing,2016-02-24,3348.0,9.172602739726027,Long-only,Ireland,EUR,False,False,Distributing,0.09,Sampling,2131.0,False,3528.0,4.46,-0.05,3.6,3.0,4.5,5.8,8.34,1.78,-0.19,5.84,-8.95,-7.56,3.38,3.45,4.85,6.67,6.72,1.2,0.4,0.05,-21.95,-2.52,-7.09,-21.95,EMEA,Germany,Developed_EMEA,,bonds,Corp,True,2026-03-13,41.50600051879883
