wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2025,2024,2023,2022,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
,RMCH,,HANetf The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,2024-10-22,509,1.3945205479452054,Long-only,Ireland,CHF,True,False,Accumulating,0.35,Physically backed,58,False,,18.36,-0.03,1.6,18.29,41.13,81.11,,,68.63,,,,,,24.6,,,3.3,,,-13.08,-13.08,,,Global,Global,Global
A2T0VT,XPPT,,Xtrackers IE Physical Platinum ETC Securities,2020-04-16,2159,5.9150684931506845,Long-only,Ireland,USD,False,False,Accumulating,0.38,Physically backed,51,False,,-5.66,-1.68,2.81,17.18,50.26,103.97,88.49,77.49,125.15,-8.12,-10.77,22.65,,,40.08,28.87,27.7,2.59,0.81,0.44,-28.51,-28.51,-28.51,-28.51,Global,Global,Global
A1NZLG,00XR,,WisdomTree Silver - EUR Daily Hedged,2012-07-06,5000,13.698630136986301,Long-only,Jersey,EUR,True,False,Accumulating,0.49,Swap based,49,False,,12.32,-4.2,2.15,27.36,84.49,130.8,212.57,149.77,141.69,11.33,-6.7,3.19,,,59.55,41.41,36.62,2.2,1.11,0.55,-71.45,-36.01,-36.01,-40.79,Global,Global,Global
A1KJUG,XRH0,12474466,Xtrackers Physical Rhodium ETC,2011-05-19,5414,14.832876712328767,Long-only,Jersey,USD,False,False,Accumulating,0.95,Physically backed,49,False,,-18.93,-1.37,4.72,24.33,37.46,109.47,4.66,-48.38,175.47,-5.38,-62.93,7.08,,,76.86,66.56,62.22,1.42,0.02,-0.2,-84.59,-34.02,-59.61,-84.59,Global,Global,Global
A4AH1M,GLDE,,IncomeShares Gold+ Yield ETP,2024-07-22,601,1.6465753424657534,"Long-only, Active",Ireland,USD,False,False,Distributing,0.35,Full replication,32,False,,12.76,-0.57,3.58,11.24,31.55,48.5,,,45.81,,,,8.59,11.48,21.84,,,2.22,,,-12.47,-12.47,,,Global,Global,Global
A1NZLD,00XN,,WisdomTree Gold - EUR Daily Hedged,2012-03-15,5113,14.008219178082191,Long-only,Jersey,EUR,True,False,Accumulating,0.49,Swap based,30,False,,14.26,-2.4,-0.81,14.09,34.62,65.46,125.54,138.37,64.49,17.12,6.05,0.48,,,26.0,19.13,17.68,2.52,1.63,1.07,-52.05,-13.21,-14.37,-19.59,Global,Global,Global
A1KX37,SPAP,12892370,Invesco Physical Palladium,2011-04-13,5450,14.931506849315069,Long-only,Ireland,USD,False,False,Accumulating,0.19,Physically backed,29,False,,1.9,-2.71,-2.64,3.29,31.76,61.95,-0.21,-31.11,60.1,-17.72,-40.93,3.75,,,39.89,37.74,40.73,1.55,0.0,-0.18,-71.01,-22.65,-49.63,-71.01,Global,Global,Global
,RMPH,,HANetf The Royal Mint Responsibly Sourced Physical Gold GBP Hedged ETC,2024-10-04,527,1.4438356164383561,Long-only,Ireland,GBP,True,False,Accumulating,0.35,Physically backed,21,False,,14.94,-1.71,0.82,15.47,37.04,67.2,,,65.7,,,,,,24.09,,,2.79,,,-12.85,-12.85,,,Global,Global,Global
A2UDH6,XPPE,,Xtrackers IE Physical Platinum EUR Hedged ETC Securities,2020-05-28,2117,5.8,Long-only,Ireland,EUR,True,False,Accumulating,0.73,Physically backed,12,False,,-9.22,-2.88,-1.31,12.97,43.87,107.59,83.22,45.45,147.12,-15.95,-10.82,11.38,,,41.29,29.84,28.84,2.61,0.75,0.27,-41.58,-28.77,-28.77,-38.85,Global,Global,Global
A4AN02,SLVI,,IncomeShares Silver+ Yield ETP,2025-06-19,269,0.736986301369863,"Long-only, Active",Ireland,USD,False,False,Distributing,0.35,Full replication,10,False,,12.81,-3.13,6.52,26.79,71.64,,,,,,,,,,,,,,,,-33.87,,,,Global,Global,Global
A1NZLF,00XQ,,WisdomTree Precious Metals - EUR Daily Hedged,2012-03-15,5113,14.008219178082191,Long-only,Jersey,EUR,True,False,Accumulating,0.49,Swap based,9,False,,15.56,-2.84,-0.28,19.8,49.2,84.01,150.27,148.5,82.16,16.0,2.86,1.08,,,32.3,23.04,20.88,2.6,1.55,0.96,-33.15,-18.01,-18.01,-23.15,Global,Global,Global
,BARG,,Janus Henderson SMO Physical Gold ETC,2024-04-16,698,1.9123287671232876,Long-only,Ireland,USD,False,False,Accumulating,0.29,Physically backed,8,False,,18.78,-0.92,3.78,17.2,41.28,63.6,,,52.56,,,,,,22.56,,,2.82,,,-11.87,-11.87,,,Global,Global,Global
