wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025
A2H59J,C40,38785053.0,Amundi CAC 40 ESG UCITS ETF DR - EUR (C),2003-02-28 00:00:00,8092,22.16986301369863,Long-only,Luxembourg,EUR,False,True,Accumulating,0.25,Full replication,717,True,47.0,6.01,3.38,-3.02,-3.0,4.42,-1.5,29.27,93.52,-1.41,18.73,-4.03,22.99,,,16.71,16.43,18.24,-0.09,0.54,0.77,-43.71,-13.83,-13.83,-19.81,EMEA,France,Developed_EMEA,
LYX0ZC,CACC,45139249.0,Amundi CAC 40 UCITS ETF Acc,2018-12-13 00:00:00,2325,6.36986301369863,Long-only,France,EUR,False,False,Accumulating,0.25,Full replication,647,False,46.0,5.29,2.52,-4.4,-3.44,3.49,-5.48,26.67,87.89,-3.93,17.47,-1.74,22.98,,,16.45,17.46,18.74,-0.41,0.43,0.69,-33.32,-14.95,-14.95,-19.79,EMEA,France,Developed_EMEA,
A12ATD,ISFR,25019150.0,iShares MSCI France UCITS ETF,2014-09-05 00:00:00,3885,10.643835616438356,Long-only,Ireland,EUR,False,True,Accumulating,0.25,Full replication,142,False,60.0,5.51,2.73,-3.76,-3.39,3.55,-3.57,25.03,84.65,-3.18,15.42,-2.03,20.93,,,15.75,15.83,17.67,-0.23,0.49,0.74,-32.98,-13.78,-13.78,-19.52,EMEA,France,Developed_EMEA,
DBX1AR,DX2G,3614446.0,Xtrackers CAC 40 UCITS ETF 1D,2008-07-09 00:00:00,6134,16.805479452054794,Long-only,Luxembourg,EUR,False,True,Distributing,0.2,Full replication,118,False,40.0,5.19,2.73,-4.16,-3.89,3.23,-5.34,26.42,89.4,-3.98,17.44,-1.73,23.01,3.01,2.76,15.93,16.03,18.02,-0.34,0.51,0.76,-38.27,-14.94,-14.94,-19.81,EMEA,France,Developed_EMEA,
A2H59K,C4D,38785060.0,Amundi CAC 40 ESG UCITS ETF DR - EUR (D),2010-04-12 00:00:00,5492,15.046575342465754,Long-only,Luxembourg,EUR,False,True,Distributing,0.25,Full replication,39,True,47.0,5.53,2.58,-3.91,-3.09,4.16,-2.27,28.67,90.8,-1.42,18.74,-4.02,23.01,2.86,2.72,16.64,16.23,18.11,-0.21,0.49,0.74,-33.33,-13.83,-13.83,-19.81,EMEA,France,Developed_EMEA,
A0REJP,CF1,4525460.0,Amundi ETF MSCI France UCITS ETF,2008-09-23 00:00:00,6058,16.5972602739726,Long-only,France,EUR,False,False,Accumulating,0.25,Swap based Unfunded,10,False,,5.49,2.49,-4.13,-3.06,3.63,-4.21,23.57,79.33,-3.57,14.99,-2.48,20.35,,,16.06,15.89,17.64,-0.34,0.42,0.68,-33.0,-14.12,-14.12,-19.58,EMEA,France,Developed_EMEA,
LYX0C6,LVC,3907468.0,Amundi CAC 40 Daily (2x) Leveraged UCITS ETF Acc,2008-05-22 00:00:00,6182,16.936986301369863,Short & Leveraged,France,EUR,False,False,Accumulating,0.4,Swap based Unfunded,257,False,,4.34,4.84,-11.99,-10.22,-0.03,-16.73,31.58,176.28,-9.21,33.31,-13.41,58.96,,,31.96,31.24,35.32,-0.59,0.26,0.62,-74.79,-32.65,-32.65,-36.0,EMEA,France,Developed_EMEA,
A0MJQA,BX4,2857628.0,Amundi CAC 40 Daily (-2x) Inverse UCITS ETF Acc,2007-01-15 00:00:00,6675,18.28767123287671,Short & Leveraged,France,EUR,False,False,Accumulating,0.6,Swap based Unfunded,156,False,,-1.39,-4.05,14.52,10.94,1.43,12.7,-34.86,-80.91,-1.37,-29.81,1.96,-50.49,,,36.38,34.03,37.97,0.38,-0.36,-0.74,-99.58,-25.32,-57.86,-85.18,EMEA,France,Developed_EMEA,
LYX0C5,SHC,4300357.0,Amundi CAC 40 Daily (-1x) Inverse UCITS ETF Acc,2008-06-09 00:00:00,6164,16.887671232876713,Short & Leveraged,France,EUR,False,False,Accumulating,0.4,Swap based Unfunded,108,False,,1.78,-2.03,9.18,6.76,3.85,8.92,-12.34,-51.71,0.0,-15.33,6.62,-31.67,,,18.65,17.38,19.54,0.48,-0.25,-0.69,-91.51,-14.74,-34.15,-59.13,EMEA,France,Developed_EMEA,
A0BLNG,MIBX,1705978.0,Amundi FTSE MIB UCITS ETF Dist,2003-11-03 00:00:00,7844,21.49041095890411,Long-only,France,EUR,False,False,Distributing,0.35,Full replication,472,False,40.0,12.19,2.65,-2.76,3.8,11.51,11.47,76.56,157.78,13.03,31.11,-4.23,18.15,3.53,3.78,18.39,19.18,20.1,0.62,1.09,1.04,-82.66,-15.72,-17.55,-24.37,EMEA,Italy,Developed_EMEA,
A0YEDP,CMB1,10737596.0,iShares FTSE MIB UCITS ETF (Acc),2010-01-26 00:00:00,5568,15.254794520547945,Long-only,Ireland,EUR,False,True,Accumulating,0.33,Full replication,231,False,41.0,12.33,2.68,-2.71,3.85,11.59,11.59,76.79,158.52,13.03,31.15,-4.8,18.84,,,17.77,18.06,19.42,0.65,1.16,1.08,-49.14,-15.71,-17.47,-24.31,EMEA,Italy,Developed_EMEA,
