wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025
A14MGW,SVE,26688077.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to EUR) A-acc,2020-06-18 00:00:00,1772,4.854794520547945,Long-only,Luxembourg,EUR,True,True,Accumulating,0.23,Full replication,186,False,45.0,7.07,2.61,-5.94,-0.58,2.61,6.41,6.57,,3.29,5.06,-12.41,14.94,,,14.19,13.65,,0.45,0.16,,-19.09,-13.95,-14.46,,EMEA,Switzerland,Developed_EMEA,
A2H57A,CSW,38784766.0,Amundi MSCI Switzerland UCITS ETF EUR (C),2008-09-16 00:00:00,6065,16.616438356164384,Long-only,Luxembourg,EUR,False,False,Accumulating,0.25,Swap based Unfunded,142,False,,6.8,1.14,-3.47,0.52,1.14,9.44,11.44,40.35,-0.44,9.44,-8.32,19.66,,,13.17,13.61,13.84,0.72,0.27,0.51,-26.58,-11.97,-11.97,-16.18,EMEA,Switzerland,Developed_EMEA,
ETF198,C030,130400829.0,Amundi DJ Switzerland Titans 30 UCITS ETF Dist,2008-12-01 00:00:00,5989,16.40821917808219,Long-only,Luxembourg,CHF,False,True,Distributing,0.25,Full replication,136,False,34.0,5.94,1.17,-3.92,-1.35,1.43,10.73,21.35,66.63,2.68,14.84,-8.79,21.73,1.43,1.56,14.14,14.02,14.33,0.76,0.47,0.75,-26.01,-12.81,-12.81,-17.31,EMEA,Switzerland,Developed_EMEA,
A14MGZ,UC94,26688828.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to GBP) A-dis,2015-05-29 00:00:00,3619,9.915068493150685,Long-only,Luxembourg,GBP,True,True,Distributing,0.23,Full replication,82,False,45.0,5.0,3.02,-6.64,-0.93,1.03,10.34,9.12,43.11,9.64,8.74,-16.13,23.15,1.58,1.71,15.4,13.42,13.54,0.67,0.22,0.55,-28.12,-16.98,-18.05,-21.91,EMEA,Switzerland,Developed_EMEA,
A14MGY,CHUSD,26688823.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to USD) A-acc,2020-06-24 00:00:00,1766,4.838356164383562,Long-only,Luxembourg,USD,True,True,Accumulating,0.23,Full replication,72,False,45.0,-1.92,2.28,-11.01,-9.36,-2.6,0.99,7.77,,11.17,4.04,-4.62,25.67,,,15.43,14.57,,0.06,0.17,,-17.51,-17.51,-17.51,,EMEA,Switzerland,Developed_EMEA,
A12A7Q,SW2UKD,25383925.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (CHF) A-UKdis,2014-10-02 00:00:00,3858,10.56986301369863,Long-only,Luxembourg,CHF,False,True,Distributing,0.2,Full replication,55,False,45.0,6.99,1.08,-4.43,-0.41,1.02,7.53,11.3,41.19,-1.29,9.58,-7.87,19.58,1.7,1.83,13.09,13.15,13.4,0.58,0.28,0.53,-19.93,-11.61,-11.61,-15.56,EMEA,Switzerland,Developed_EMEA,
A14MGX,CHUSDD,26688593.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to USD) A-dis,2020-06-24 00:00:00,1766,4.838356164383562,Long-only,Luxembourg,USD,True,True,Distributing,0.23,Full replication,8,False,45.0,-1.87,2.24,-11.03,-9.33,-2.69,1.01,7.68,,11.17,4.02,-4.65,25.67,1.69,1.7,15.46,14.65,,0.07,0.17,,-17.58,-17.58,-17.58,,EMEA,Switzerland,Developed_EMEA,
A14MG0,UC93,26688928.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to GBP) A-acc,2015-05-29 00:00:00,3619,9.915068493150685,Long-only,Luxembourg,GBP,True,True,Accumulating,0.23,Full replication,8,False,45.0,4.67,2.96,-6.67,-0.97,0.99,10.34,9.11,43.18,9.96,8.8,-16.12,23.06,,,15.41,13.41,13.53,0.67,0.22,0.55,-28.13,-16.97,-18.06,-21.89,EMEA,Switzerland,Developed_EMEA,
A14MGV,CHEURD,26683594.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (hedged to EUR) A-dis,2020-06-24 00:00:00,1766,4.838356164383562,Long-only,Luxembourg,EUR,True,True,Distributing,0.23,Full replication,6,False,45.0,7.21,2.7,-5.82,-0.46,2.7,6.46,6.65,,3.14,5.12,-12.43,15.06,1.64,1.74,14.14,13.61,,0.42,0.12,,-19.14,-13.92,-14.45,,EMEA,Switzerland,Developed_EMEA,
A2D1VD,ITBL,,WisdomTree FTSE MIB Banks,2016-11-24 00:00:00,3088,8.46027397260274,Long-only,Ireland,EUR,False,False,Accumulating,0.35,Swap based,23,False,,24.63,1.2,22.2,12.77,37.94,47.93,264.94,504.14,64.23,37.18,10.44,30.88,,,27.37,27.97,28.79,,,,-49.8,-20.81,-24.55,-35.15,EMEA,Italy,Developed_EMEA,
,WMIB,,WisdomTree FTSE MIB,2022-03-02 00:00:00,1164,3.1890410958904107,Long-only,Ireland,EUR,False,False,Accumulating,0.18,Swap based Funded,10,False,,16.1,1.8,16.73,6.32,17.52,14.76,80.26,,11.81,29.92,,,,,17.76,18.0,,,,,-17.57,-15.73,-17.57,,EMEA,Italy,Developed_EMEA,
A2N7NF,PEAM,45377796.0,Invesco MDAX UCITS ETF A,2019-02-11 00:00:00,2582,7.073972602739726,Long-only,Ireland,EUR,False,True,Accumulating,0.19,Full replication,1168,False,50.0,-4.23,-7.46,-6.89,-1.31,-1.81,0.4,-2.31,-5.35,-10.42,5.38,-24.76,,,,17.25,16.83,18.73,0.02,-0.05,-0.06,-38.63,-16.92,-21.01,-38.63,EMEA,Germany,Developed_EMEA,25.33
LYX0R1,MDX,24354162.0,Amundi MDAX UCITS ETF Dist,2014-05-15 00:00:00,4315,11.821917808219178,Long-only,France,EUR,False,False,Distributing,0.2,Swap based Unfunded,307,False,29.0,-4.25,-7.48,-6.88,-1.3,-2.01,0.13,-2.26,-5.01,-10.35,5.68,-24.69,,1.62,1.63,17.34,17.07,18.78,0.01,-0.04,-0.05,-38.53,-16.93,-20.64,-38.53,EMEA,Germany,Developed_EMEA,24.98
ETF297,C002,150607853.0,Amundi Core DAX UCITS ETF Acc,2025-12-11 00:00:00,87,0.2383561643835616,Long-only,Luxembourg,EUR,False,True,Accumulating,0.08,Full replication,2,False,,-4.32,-7.68,-4.75,,,,,,,,,,,,,,,,,,-7.68,,,,EMEA,Germany,Developed_EMEA,
,3MBG,,Leverage Shares 3x Long Mercedes Benz (MBG) ETP Securities,2022-06-07 00:00:00,1370,3.753424657534248,Short & Leveraged,Ireland,EUR,False,False,Accumulating,0.75,Swap based,0,False,,-29.0,-21.72,-20.75,-34.81,-4.98,-38.39,-77.89,,-50.8,-9.3,,,,,77.11,69.83,,-0.5,-0.57,,-86.66,-59.03,-86.66,,EMEA,Germany,Developed_EMEA,24.54
A1ZBAD,3ITL,,WisdomTree FTSE MIB 3x Daily Leveraged,2013-10-29 00:00:00,4513,12.364383561643836,Short & Leveraged,Ireland,EUR,False,False,Accumulating,0.75,Swap based,37,False,,-4.43,-17.8,-9.27,5.16,20.29,53.19,252.46,467.72,32.69,95.83,-38.4,,,,53.11,47.26,52.98,1.0,1.1,0.78,-85.06,-44.59,-44.59,-63.39,EMEA,Italy,Developed_EMEA,126.66
,3RAC,,Leverage Shares 3x Long Ferrari (RACE) ETP Securities,2023-05-17 00:00:00,1026,2.8109589041095893,Short & Leveraged,Ireland,EUR,False,False,Accumulating,0.75,Swap based,6,False,,-34.97,-35.02,-7.6,-47.22,-77.63,-75.96,,,56.13,,,,,,115.96,,,-0.66,,,-85.91,-82.84,,,EMEA,Italy,Developed_EMEA,-60.21
