wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
A2QGU3,ESJS,57795241.0,Invesco MSCI Japan Universal Screened UCITS ETF Acc,2021-01-08,1568,4.295890410958904,Long-only,Ireland,USD,False,False,Accumulating,0.19,Full replication,8.0,True,186.0,-2.41,2.09,-3.54,-4.14,2.69,-0.09,24.5,,9.74,12.7,-7.32,,,,27.27,21.16,,0.0,0.36,,-20.88,-17.85,-17.85,,APAC,Japan,Developed_APAC
LYX0ZP,LCJG,42000719.0,Amundi MSCI Japan UCITS ETF GBP Hedged Acc,2018-10-18,2381,6.523287671232877,Long-only,Luxembourg,GBP,True,True,Accumulating,0.2,Full replication,8.0,False,191.0,-4.44,3.61,-6.24,-4.73,0.96,0.96,57.23,118.59,24.67,33.31,-5.02,11.95,,,29.49,22.18,20.43,0.03,0.73,0.83,-28.68,-26.08,-26.08,-26.08,APAC,Japan,Developed_APAC
A406Q8,JCTA,133332360.0,iShares MSCI Japan Climate Transition Aware UCITS ETF USD (Acc),2024-06-11,318,0.8712328767123287,Long-only,Ireland,USD,False,False,Accumulating,0.15,Full replication,7.0,True,124.0,-6.31,0.52,-8.31,-6.99,-0.77,,,,,,,,,,,,,,,,-18.69,,,,APAC,Japan,Developed_APAC
A40GM0,JAPN,136891637.0,Franklin FTSE Japan UCITS ETF (Acc),2024-07-29,270,0.7397260273972602,Long-only,Ireland,JPY,False,False,Accumulating,0.09,Full replication,7.0,False,,-2.59,2.42,-3.86,-2.69,3.21,,,,,,,,,,,,,,,,-15.71,,,,APAC,Japan,Developed_APAC
LYX00T,JPNE,38013691.0,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - EUR Hedged (D),2019-09-18,2046,5.605479452054794,Long-only,Luxembourg,EUR,True,False,Distributing,0.2,Full replication,7.0,True,36.0,-0.55,2.12,-2.0,-2.44,1.8,0.1,29.87,65.49,6.3,19.06,-4.9,4.15,1.37,1.35,24.01,20.27,19.45,0.0,0.45,0.54,-24.47,-19.33,-19.33,-20.54,APAC,Japan,Developed_APAC
A2AB8B,DXJD,30125341.0,WisdomTree Japan Equity UCITS ETF CHF Hedged Acc,2016-02-02,3370,9.232876712328768,Long-only,Ireland,CHF,True,False,Accumulating,0.45,Optimized sampling,6.0,True,494.0,-5.16,-0.28,-6.39,-4.35,-0.31,-1.04,78.33,170.24,18.86,40.34,14.23,14.73,,,27.79,21.41,20.12,-0.04,0.99,1.09,-31.6,-21.7,-21.7,-21.7,APAC,Japan,Developed_APAC
A2H58Y,TPHG,38785031.0,Amundi Japan Topix UCITS ETF Daily Hedged GBP,2015-10-06,3489,9.558904109589042,Long-only,Luxembourg,GBP,True,False,Accumulating,0.48,Swap based Unfunded,6.0,False,,-4.32,3.25,-5.19,-3.37,1.87,1.87,60.49,119.79,24.42,33.26,-2.52,11.26,,,28.16,20.24,18.83,0.07,0.84,0.91,-33.99,-24.6,-24.6,-24.6,APAC,Japan,Developed_APAC
A2JFJT,8R80,37749020.0,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - CHF Hedged (C),2015-07-21,3566,9.76986301369863,Long-only,Luxembourg,CHF,True,False,Accumulating,0.2,Full replication,4.0,True,36.0,-1.57,1.01,-0.86,-1.96,-0.03,1.77,35.76,76.36,3.26,24.22,0.16,8.39,,,22.49,19.65,18.74,0.08,0.55,0.64,-25.13,-15.44,-15.44,-16.12,APAC,Japan,Developed_APAC
A2H59B,JPHC,38785075.0,Amundi ETF JPX Nikkei 400 UCITS ETF Daily Hedged CHF,2016-01-29,3374,9.243835616438355,Long-only,Luxembourg,CHF,True,False,Accumulating,0.18,Swap based Unfunded,4.0,False,,-3.25,2.13,-3.03,-3.1,0.55,2.33,64.41,119.33,14.17,34.71,6.29,7.77,,,25.23,19.7,18.72,0.09,0.91,0.91,-24.47,-19.79,-19.79,-19.79,APAC,Japan,Developed_APAC
A12GMT,XDNU,28941550.0,Xtrackers MSCI Japan Screened UCITS ETF 4C - USD Hedged,2015-07-31,3556,9.742465753424655,Long-only,Ireland,USD,True,True,Accumulating,0.25,Full replication,4.0,True,178.0,-10.89,2.76,-8.23,-11.08,-1.5,-6.16,55.29,107.05,26.62,27.33,8.76,12.93,,,30.07,21.96,20.12,-0.2,0.72,0.78,-25.76,-25.76,-25.76,-25.76,APAC,Japan,Developed_APAC
A3C9EU,SPF6,115597128.0,SPDR MSCI Japan Climate Paris Aligned UCITS ETF JPY Unhedged,2022-03-04,1148,3.1452054794520548,Long-only,Ireland,JPY,False,False,Accumulating,0.12,Full replication,4.0,True,52.0,-3.1,2.18,-2.09,-5.19,-1.5,-4.78,7.35,,-0.44,9.13,,,,,19.99,17.72,,-0.24,0.13,,-17.03,-14.59,-17.03,,APAC,Japan,Developed_APAC
DBX0TJ,XCJD,124275138.0,Xtrackers MSCI Japan Climate Transition UCITS ETF 1D,2023-01-25,821,2.249315068493151,Long-only,Ireland,USD,False,False,Distributing,0.15,Full replication,4.0,True,121.0,-2.87,1.15,-3.59,-4.62,1.99,-2.75,,,3.55,,,,1.65,1.58,25.6,,,-0.11,,,-17.56,-16.68,,,APAC,Japan,Developed_APAC
A2H59A,JPHG,38785067.0,Amundi JPX Nikkei 400 UCITS ETF Daily Hedged GBP,2015-05-28,3620,9.917808219178085,Long-only,Luxembourg,GBP,True,False,Accumulating,0.18,Swap based Unfunded,3.0,False,,-4.42,2.75,-5.36,-3.54,0.86,1.82,62.05,124.75,24.99,34.0,-2.54,11.33,,,27.94,20.18,18.83,0.07,0.86,0.93,-32.53,-24.97,-24.97,-24.97,APAC,Japan,Developed_APAC
A3DNJF,AHYZ,119719107.0,Amundi MSCI Japan ESG Broad Transition UCITS ETF - Hedged EUR (C),2022-08-23,976,2.673972602739726,Long-only,Luxembourg,EUR,True,False,Accumulating,0.2,Full replication,2.0,True,176.0,-2.91,2.55,-4.65,-4.68,2.78,-1.68,,,15.28,27.74,,,,,26.99,,,-0.06,,,-22.72,-22.72,,,APAC,Japan,Developed_APAC
