wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
A0Q4R8,4BRZ,43398616,iShares MSCI Brazil UCITS ETF (DE) USD (Acc),2018-10-24,2375,6.506849315068493,Long-only,Germany,USD,False,False,Accumulating,0.31,Full replication,2001,False,51.0,10.67,5.3,-1.89,1.38,-3.85,-12.91,-5.2,61.81,-29.13,25.78,26.89,-17.5,,,22.41,26.19,29.01,-0.58,-0.07,0.35,-52.17,-25.87,-30.16,-30.16,Americas,Brazil,Emerging_Americas
A0HGWA,IBZL,2308866,iShares MSCI Brazil UCITS ETF (Dist),2005-11-18,7098,19.44657534246576,Long-only,Ireland,USD,False,False,Distributing,0.74,Full replication,262,False,52.0,10.51,5.3,-1.95,1.2,-4.21,-13.83,-7.54,55.8,-27.63,22.89,28.95,-21.33,6.94,5.59,22.44,28.39,31.76,-0.62,-0.09,0.29,-71.32,-26.41,-30.83,-31.46,Americas,Brazil,Emerging_Americas
LYX02B,RIOL,45209789,Amundi MSCI Brazil UCITS ETF Acc,2007-01-24,6666,18.263013698630136,Long-only,Luxembourg,EUR,False,False,Accumulating,0.65,Swap based Unfunded,161,False,,10.33,5.35,-2.07,1.88,-3.93,-12.92,-5.6,60.53,-28.94,24.92,27.7,-17.6,,,22.46,25.73,28.14,-0.57,-0.07,0.35,-77.83,-25.66,-29.8,-29.8,Americas,Brazil,Emerging_Americas
DBX1MR,XMBR,3067317,Xtrackers MSCI Brazil UCITS ETF 1C,2007-06-22,6517,17.854794520547944,Long-only,Luxembourg,USD,False,True,Accumulating,0.25,Full replication,69,False,49.0,11.06,5.64,-1.59,1.67,-3.54,-12.54,-5.25,60.86,-29.04,24.56,26.93,-16.94,,,21.75,26.02,28.76,-0.58,-0.07,0.35,-71.62,-25.75,-30.03,-30.03,Americas,Brazil,Emerging_Americas
A2PB5U,FVUB,46325021,Franklin FTSE Brazil UCITS ETF,2019-06-04,2152,5.895890410958904,Long-only,Ireland,USD,False,False,Accumulating,0.19,Full replication,34,False,89.0,11.2,5.18,-1.03,3.69,-0.76,-10.04,-1.4,64.74,-26.59,25.31,24.72,-15.32,,,21.62,25.95,28.69,-0.46,-0.02,0.37,-51.67,-24.1,-28.15,-29.42,Americas,Brazil,Emerging_Americas
DBX0ES,XMEX,11115473,Xtrackers MSCI Mexico UCITS ETF 1C,2010-03-26 00:00:00,5509,15.093150684931508,Long-only,Luxembourg,USD,False,True,Accumulating,0.65,Full replication,325,False,23.0,15.71,7.28,8.0,7.28,8.97,-13.52,16.83,120.91,-26.7,32.64,9.09,23.75,,,25.89,22.6,22.84,-0.52,0.24,0.75,-50.12,-28.13,-29.58,-29.58,Americas,Mexico,Emerging_Americas
A1C1H0,CMX1,11476341,iShares MSCI Mexico Capped UCITS ETF (Acc),2010-08-25 00:00:00,5357,14.676712328767124,Long-only,Ireland,USD,False,False,Accumulating,0.65,Full replication,61,False,23.0,15.48,7.21,8.0,7.28,8.86,-13.63,16.8,120.16,-26.52,32.46,9.17,23.39,,,26.01,22.63,22.51,-0.52,0.23,0.76,-49.92,-28.26,-29.58,-29.58,Americas,Mexico,Emerging_Americas
